qid,brand,token,news_level_adidas100,news_level_basket1000,trusted
Q125191429,Ladies,/m/02zsn,165.54,,0
Q22032349,Wood Wood,Wood Wood,248.61,,0
Q125705303,Fix,Fix,45.82,,0
Q6766373,Mark's,/m/03thp0,0.2,5.26,1
Q64852777,Beer,/m/01599,91.05,,0
Q25222241,'47,/g/11clghfjn2,0.0,,1
Q48743138,Away,Away,124.23,,0
Q7456144,Sessions,,,,0
Q5204244,DAKS,DAKS,0.0,,0
Q742988,New Balance,/m/08dr90,13.64,358.48,1
Q101108013,George,George,452.27,,0
Q3157513,Jacob,,,,0
Q5512642,GU,/m/045c7b,1146.59,,0
Q138486466,Shukr,/m/0f7z4,501.14,,0
Q9294202,House,/m/04p5cr,2.31,,0
Q1384784,Express,/m/02vwbyy,0.0,,1
Q2872152,Australian,Australian,148.61,,0
Q1135366,Vans,/m/04kbwy,6.79,178.45,1
Q12340378,VILA,VILA,62.65,,0
Q193136,Prada,/m/0775rj9,13.43,352.96,1
Q136570,Zalando,/m/0h66dk8,26.54,697.51,1
Q10443115,Carlings,,,,0
Q2967663,Church's,/g/1ymzd9hj4,0.0,,0
Q152784,"The North Face, Inc.",/m/04n92b,5.86,154.01,1
Q114913,Dickies,/m/03pjr5,0.0,,1
Q191485,Louis Vuitton,/g/12nvqh_c0,27.01,709.87,1
Q635484,Giorgio Armani,/m/03wr6g,12.81,336.67,1
Q2121887,Polo Ralph Lauren,/m/04lg33,12.81,,0
Q2945643,Skechers,/m/05x2kg,8.64,227.07,1
Q115517249,Tu,/m/0k362,4.78,,0
Q611115,Swarovski,/m/05fnqj,3.09,81.21,1
Q7866331,USC,/m/0b__fx,0.62,,0
Q3317844,Modell's,/m/0dj6sn,0.0,,0
Q85761879,Frame,Frame,32.72,,0
Q696376,Versace,/m/05hnq8k,5.4,141.92,1
Q2076935,Munich,/m/0175rc,325.91,,0
Q20716793,Pink,/m/01fklc,64.78,,0
Q5515554,Gabe's,Gabe's,0.0,,0
Q26070,Uniqlo,/g/1yw79g90r,19.27,506.45,1
Q491627,Hugo Boss,/m/025rywz,2.29,60.18,1
Q11072650,Swear,/g/11rqxqqrmq,0.0,,0
Q4941440,Bonds,/m/0cgkbv,0.0,,1
Q483915,Nike,/m/0lwkh,166.19,4367.74,1
Q4983306,Buckle,Buckle,0.93,,0
Q1075391,Chloé,/g/11_zp24k5,0.93,24.44,1
Q110778161,SKIMS,/g/11k0mnxt1s,3.24,85.15,1
Q552230,Miu Miu,Miu Miu,3.4,,0
Q178516,Gucci,/m/0h31vgv,17.44,458.35,1
Q3111039,MCS,MCS,1.08,,0
Q42332202,Bombas,Bombas,2.78,,0
Q1719431,Schmid,,,,0
Q706421,New Yorker,/m/0g58v18,3.7,97.24,1
Q147662,Zara,/m/0w0nhw0,48.61,1277.55,1
Q1578717,Rochas,/m/02pzxz6,0.0,,0
Q649646,Valentino,/m/0fq3vnm,3.7,97.24,1
Q19841609,Lids,/m/026xr08,0.0,,1
Q701338,C&A,/m/01_fdx,3.7,97.24,1
Q1837290,Mexx,Mexx,0.0,,0
Q211951,ASOS,/m/03gvmw7,8.95,235.22,1
Q1068628,Calvin Klein,/m/0_vn4bf,8.02,210.78,1
Q188326,H&M,/g/11b73tb7x5,27.93,734.05,1
Q7310479,Reiss,Reiss,0.93,,0
Q24908552,100 Thieves,/g/11byzccgfp,1.23,32.33,1
Q5175717,Cotton On,Cotton On,1.08,,0
Q691029,Pull&Bear,/m/07b47p,1.7,44.68,1
Q109906064,Sleeper,,,,0
Q648458,Birkenstock,/m/06ff7d,1.7,44.68,1
Q332477,Victoria’s Secret,/m/02pvjn,19.6,515.12,1
Q7747373,The Limited,/m/012wlyfr,14.97,,0
Q735873,Kappa,Kappa,2.78,,0
Q107481263,Bode,,,,0
Q20714032,Seraphine,Seraphine,0.15,,0
Q1030922,Camper,Camper,12.5,,0
Q265056,s.Oliver,/m/0cp1m_d,0.0,,1
Q2072372,streetwear,/g/11q9fssgnh,0.0,,0
Q309031,Lacoste,/g/1ymz_r8xh,4.94,129.83,1
Q107377209,Shein,/g/11g21kpwrc,89.66,2356.41,1
Q1136426,Hackett,/m/0bh8_3h,0.0,,0
Q20987378,Barefoot,,,,0
Q420953,Air Jordan,/m/054c1,16.2,425.76,1
Q22101752,Adidas Yeezy,/g/11bwywl9py,1.39,36.53,1
Q843887,Hermès,/m/0_rbk5p,21.45,563.74,1
Q174310,Nordstrom,Nordstrom,10.8,,0
Q752515,Bulgari,/m/0bb262b,2.62,68.86,1
Q390107,Burberry,/g/1yw7h9ktq,4.32,113.54,1
