qid,brand,token,trends24m_adidas100,trends24m_basket1000
Q125191429,Ladies,/m/02zsn,,
Q22032349,Wood Wood,Wood Wood,,
Q125705303,Fix,Fix,,
Q6766373,Mark's,/m/03thp0,,
Q64852777,Beer,/m/01599,,
Q25222241,'47,/g/11clghfjn2,,
Q48743138,Away,Away,,
Q7456144,Sessions,,,
Q5204244,DAKS,DAKS,,
Q742988,New Balance,/m/08dr90,,
Q101108013,George,George,,
Q3157513,Jacob,,,
Q5512642,GU,/m/045c7b,,
Q138486466,Shukr,/m/0f7z4,,
Q9294202,House,/m/04p5cr,,
Q1384784,Express,/m/02vwbyy,,
Q2872152,Australian,Australian,,
Q1135366,Vans,/m/04kbwy,,
Q12340378,VILA,VILA,,
Q193136,Prada,/m/0775rj9,,
Q136570,Zalando,/m/0h66dk8,,
Q10443115,Carlings,,,
Q2967663,Church's,/g/1ymzd9hj4,,
Q152784,"The North Face, Inc.",/m/04n92b,,
Q114913,Dickies,/m/03pjr5,,
Q191485,Louis Vuitton,/g/12nvqh_c0,,
Q635484,Giorgio Armani,/m/03wr6g,,
Q2121887,Polo Ralph Lauren,/m/04lg33,,
Q2945643,Skechers,/m/05x2kg,,
Q115517249,Tu,/m/0k362,,
Q611115,Swarovski,/m/05fnqj,,
Q7866331,USC,/m/0b__fx,,
Q3317844,Modell's,/m/0dj6sn,,
Q85761879,Frame,Frame,,
Q696376,Versace,/m/05hnq8k,,
Q2076935,Munich,/m/0175rc,,
Q20716793,Pink,/m/01fklc,,
Q5515554,Gabe's,Gabe's,,
Q26070,Uniqlo,/g/1yw79g90r,,
Q491627,Hugo Boss,/m/025rywz,,
Q11072650,Swear,/g/11rqxqqrmq,,
Q4941440,Bonds,/m/0cgkbv,,
Q483915,Nike,/m/0lwkh,,
Q4983306,Buckle,Buckle,,
Q1075391,Chloé,/g/11_zp24k5,,
Q110778161,SKIMS,/g/11k0mnxt1s,,
Q552230,Miu Miu,Miu Miu,,
Q178516,Gucci,/m/0h31vgv,,
Q3111039,MCS,MCS,,
Q42332202,Bombas,Bombas,,
Q1719431,Schmid,,,
Q706421,New Yorker,/m/0g58v18,,
Q147662,Zara,/m/0w0nhw0,,
Q1578717,Rochas,/m/02pzxz6,,
Q649646,Valentino,/m/0fq3vnm,,
Q19841609,Lids,/m/026xr08,,
Q701338,C&A,/m/01_fdx,,
Q1837290,Mexx,Mexx,,
Q211951,ASOS,/m/03gvmw7,,
Q1068628,Calvin Klein,/m/0_vn4bf,,
Q188326,H&M,/g/11b73tb7x5,,
Q7310479,Reiss,Reiss,,
Q24908552,100 Thieves,/g/11byzccgfp,,
Q5175717,Cotton On,Cotton On,,
Q691029,Pull&Bear,/m/07b47p,,
Q109906064,Sleeper,,,
Q648458,Birkenstock,/m/06ff7d,,
Q332477,Victoria’s Secret,/m/02pvjn,,
Q7747373,The Limited,/m/012wlyfr,,
Q735873,Kappa,Kappa,,
Q107481263,Bode,,,
Q20714032,Seraphine,Seraphine,,
Q1030922,Camper,Camper,,
Q265056,s.Oliver,/m/0cp1m_d,,
Q2072372,streetwear,/g/11q9fssgnh,,
Q309031,Lacoste,/g/1ymz_r8xh,,
Q107377209,Shein,/g/11g21kpwrc,,
Q1136426,Hackett,/m/0bh8_3h,,
Q20987378,Barefoot,,,
Q420953,Air Jordan,/m/054c1,,
Q22101752,Adidas Yeezy,/g/11bwywl9py,,
Q843887,Hermès,/m/0_rbk5p,,
Q174310,Nordstrom,Nordstrom,,
Q752515,Bulgari,/m/0bb262b,,
Q390107,Burberry,/g/1yw7h9ktq,,
Q319344,Abercrombie & Fitch,/m/02z2m_,,
Q958209,Springfield,/g/121v7vpj,,
Q7740985,The Hundreds,,,
Q927272,NKD,NKD,,
Q125206509,Patta,Patta,,
Q214480,Dolce & Gabbana,/g/11bx9m5xfx,,
Q87193804,Scalpers,/g/11bxjjnb9f,,
Q6793571,Maurices,/m/05mscfc,,
Q2031485,Under Armour,/g/1ymzslvpb,,
Q1445358,Wrangler,/m/047nbt,,
Q1280255,ECCO,/m/06g_1m,,
Q659863,Moschino,/m/0bdfm0,,
Q7197417,Piping Hot,Piping Hot,,
Q28224724,Golden Goose,/g/11c520979w,,
Q53472173,Off-White,/g/11c54xppt5,,
Q759210,Givenchy,/m/0hgt7_w,,
Q132531889,Alé,/m/0m09,,
Q72982331,Francesca's,Francesca's,,
Q11788344,CCC,/g/1ygbchl2v,,
Q926575,Fendi,/m/063y0r6,,
Q806085,Banana Republic,/m/0ndmqf4,,
Q2282172,Yves Saint Laurent,/m/03ccxvf,,
Q127962,Levi Strauss & Co.,/m/02j46m,,
Q7679064,Talbots,/m/0c5zgx,,
Q3146711,IKKS,/g/1218lp88,,
Q938773,DKNY,/m/011dggwx,,
Q3943471,Scarpa,Scarpa,,
Q11297188,Kapital,Kapital,,
Q1684445,Superdry,/g/11byc_hvqg,,
Q2832297,ALDO,ALDO,,
Q827258,Bershka,/m/0h5f3x,,
Q1060537,Forever 21,/m/0svnzp6,,
Q844805,Dillard's,Dillard's,,
Q105476592,Tom Ford,/m/017gy6,,
Q1130409,Vertu,/m/08f7wf,,
Q2735242,Old Navy,/m/0263lp,,
Q115804691,Volcano,,,
Q5618229,Gump's,Gump's,,
Q1341990,Strauss,Strauss,,
Q119149859,Kapital,Kapital,,
Q5437186,Fat Face,/m/09fpzd,,
Q42306166,Snipes,/g/11gcbs1xf8,,
Q894874,Bottega Veneta,/m/04bnxg,,
Q1548951,Moncler,/m/02pyfhb,,
Q4936481,Boden,Boden,,
Q539507,Icebreaker,Icebreaker,,
Q3160437,Jaeger,Jaeger,,
Q883965,KiK,KiK,,
Q13882231,Alexander McQueen,/g/1jkx4qt4k,,
Q25351738,Joules,/g/11b86c1vzv,,
Q966905,Loewe,/g/11byp687x5,,
Q1126126,Dr. Martens,/m/01lsm6,,
Q1726925,Maison Margiela,/g/1jlb4y05y,,
Q5499945,Free People,Free People,,
Q1355904,Zegna,/m/05217d,,
Q3650853,Marni,/m/0105z9k1,,
Q658961,Piaget,/m/04g92x,,
Q25351619,Aerie,/m/012z6pg4,,
Q108582148,Good American,Good American,,
Q4112833,Caleres,/m/04jhml,,
Q1686544,Loro Piana,/g/11c564hx53,,
Q788231,Massimo Dutti,/m/0284p1n,,
Q1151774,Max Mara,/g/11vm73rvd,,
Q18712957,Farfetch,/m/012hpgww,,
Q16908664,Hoka,/m/0_qhc0d,,
Q9171569,Big Star,Big Star,,
Q2842931,American Eagle Outfitters,/m/034zyt,,
Q3866987,Mulberry,Mulberry,,
Q6063877,Koton,/g/11r7prv1n,,
Q1422481,Fjällräven,Fjällräven,,
Q11815580,Pepco,/m/0250hn,,
Q950042,Stone Island,Stone Island,,
Q15263093,IRFE,/m/0zg8gwd,,
Q6981479,Nautica,/m/04tmnn,,
Q3128675,Havaianas,/g/1tm8lqf8,,
Q63335,Foot Locker,/m/08fhy9,,
Q29109956,Vetements,/g/11c6tx4ln_,,
Q3497483,Emporio Armani,Emporio Armani,,
Q1568588,Juicy Couture,Juicy Couture,,
Q593680,Borsalino,Borsalino,,
Q934096,Red Wing Shoes,/m/0603n6,,
Q25351941,The Row,/g/113kgn5bq,,
Q47155680,Kari,/m/012h24,,
Q1400977,Missoni,/m/0z4417c,,
Q3410623,Puig,/m/0k0trc6,,
Q4766699,Ann Taylor,/m/0fgwy4,,
Q83750,Desigual,/g/1ym_0s0cw,,
Q866899,Lanvin,/m/0105j09n,,
Q1371677,Etro,/m/03nxmwd,,
Q2422884,American Vintage,American Vintage,,
Q3197595,Kiton,/m/06b74y,,
