qid,brand,token,trends_level_adidas100,pv_median,search_mom,suspect_inflated,trends_level_basket1000
Q125191429,Ladies,/m/02zsn,105.08,0,,1,
Q22032349,Wood Wood,Wood Wood,94.92,930,0%,1,
Q125705303,Fix,Fix,85.95,0,,1,
Q6766373,Mark's,/m/03thp0,1.43,2172,+3%,,32.69
Q64852777,Beer,/m/01599,79.63,0,,1,
Q25222241,'47,/g/11clghfjn2,1.23,5200,0%,,28.11
Q48743138,Away,Away,69.65,1852,-10%,1,
Q7456144,Sessions,,0.114,187,,,2.61
Q5204244,DAKS,DAKS,0.0,1302,+10%,,
Q742988,New Balance,/m/08dr90,43.04,40564,+3%,,983.78
Q101108013,George,George,71.15,2238,0%,1,
Q3157513,Jacob,,,501,,1,
Q5512642,GU,/m/045c7b,1566.78,11056,-10%,,
Q138486466,Shukr,/m/0f7z4,47.15,177,>5000 (breakout),1,
Q9294202,House,/m/04p5cr,4.08,1256,0%,1,
Q1384784,Express,/m/02vwbyy,1.31,3131,-1%,,29.94
Q2872152,Australian,Australian,44.99,74,-3%,1,
Q1135366,Vans,/m/04kbwy,14.58,17533,+9%,,333.26
Q12340378,VILA,VILA,26.99,0,+300%,1,
Q193136,Prada,/m/0775rj9,15.35,44951,+3%,,350.86
Q136570,Zalando,/m/0h66dk8,21.31,21940,-5%,,487.09
Q10443115,Carlings,,0.164,0,+4%,,3.75
Q2967663,Church's,/g/1ymzd9hj4,0.0,2307,-1%,,
Q152784,"The North Face, Inc.",/m/04n92b,17.68,36590,+8%,,404.12
Q114913,Dickies,/m/03pjr5,1.33,8438,+20%,,30.4
Q191485,Louis Vuitton,/g/12nvqh_c0,30.22,75262,+1%,,690.75
Q635484,Giorgio Armani,/m/03wr6g,12.36,33927,+2%,,282.52
Q2121887,Polo Ralph Lauren,/m/04lg33,19.19,0,+5%,1,438.63
Q2945643,Skechers,/m/05x2kg,14.96,29915,+3%,,341.95
Q115517249,Tu,/m/0k362,11.19,1269,+80%,1,
Q611115,Swarovski,/m/05fnqj,9.19,45071,+4%,,210.06
Q7866331,USC,/m/0b__fx,0.0,570,+20%,,
