qid,brand,description,sitelinks,en_title,n_wikipedias,review_flag,pv_median,trends_score,news_score,wiki_mom,wiki_yoy,wiki_latest,search_mom,search_yoy,news_mom,news_yoy,elig_pv,elig_trends,elig_news,trends_ratio,news_ratio,pv_ratio,sources,attention,breadth,raw,rank,interest_index,tier
Q483915,Nike,American athletic equipment company,89.0,"Nike, Inc.",84,,118161.0,3070.43,4367.74,-7%,-12%,113454.0,0%,-10%,+200%,+550%,True,True,True,1.3503420980190373,1.444669760358448,1.0606569281185463,trends+news+pv,1.3207033627407623,1.047884568365847,1.2797805435845249,1,130.5,A
Q3895,Adidas,German multinational corporation,105.0,Adidas,105,,180671.0,2285.74,2628.16,,,210972.0,,,,,True,True,True,1.1650850275552564,1.120639932290646,1.3115416244748255,trends+news+pv,1.1810428183597872,1.138185611159142,1.1746142372796904,2,119.8,A
Q107377209,Shein,Chinese-Singaporean online fashion retailer,41.0,Shein,40,,62387.0,1099.9,2356.41,-4%,-53%,50152.0,-2%,+140%,+110%,+3900%,True,True,True,0.808203651009716,1.0611227404462575,0.7706991949220009,trends+news+pv,0.8765784866231354,0.7112304957803636,0.8517762879967197,3,86.9,A
Q147662,Zara,"retailer for clothing, headquartered in Spain",62.0,Zara (retailer),60,,58959.0,1364.58,1277.55,-10%,-28%,42556.0,-7%,-7%,+90%,+600%,True,True,True,0.9002097406075557,0.7813203688238268,0.7492261183025353,trends+news+pv,0.8343462046114329,0.8746096930733868,0.8403857278807261,4,85.7,A
Q188326,H&M,Swedish multinational clothing-retail company,70.0,H&M,67,,65909.0,1014.41,734.05,-2%,-21%,58674.0,-10%,-20%,+110%,+2600%,True,True,True,0.7761594828084354,0.5922471980808222,0.7921550868549526,trends+news+pv,0.7241849181994549,0.9293246599725737,0.7549558794654226,5,77.0,A
Q191485,Louis Vuitton,French fashion house and luxury retail company,69.0,Louis Vuitton,68,,75262.0,690.75,709.87,+17%,-21%,75146.0,+1%,-10%,+250%,+450%,True,True,True,0.6404786447254713,0.5824110478940592,0.8464976011172749,trends+news+pv,0.6642621569544084,0.9226627485605116,0.7030222456953238,6,71.7,A
Q471891,De Beers,"International corporation that specialises in diamond exploration, diamond mining, diamond retail, rough diamond sales and industrial diamond manufacturing",44.0,De Beers,44,,48599.0,,,,,45447.0,,,,,True,False,False,0.0,0.0,0.6802233263059385,pv,0.6802233263059385,0.7367917930349712,0.6887085963152935,7,70.3,A
Q26070,Uniqlo,"Japanese casual wear designer, manufacturer and retailer",63.0,Uniqlo,62,,82137.0,631.09,506.45,-7%,-9%,61011.0,-4%,+20%,+250%,>5000 (breakout),True,True,True,0.612195109984579,0.49193585896072756,0.8843155716455032,trends+news+pv,0.6305414270096085,0.8816347833824535,0.6682054304655352,8,68.2,A
Q1659229,Supreme,American clothing brand and skateboarding shop,29.0,Supreme (brand),28,,23898.0,952.92,,-3%,-40%,20879.0,+100%,+10%,>5000 (breakout),>5000 (breakout),True,True,False,0.7522677225780257,0.0,0.47700027848881266,trends+pv,0.6736198814096792,0.5981601002283233,0.6623009142324758,9,67.6,A
Q178516,Gucci,"Italian luxury fashion house based in Florence, Italy",75.0,Gucci,73,,84508.0,481.83,458.35,+17%,-30%,57330.0,-8%,-6%,+700%,+1850%,True,True,True,0.5349228199332653,0.4679924115573562,0.8969882746438491,trends+news+pv,0.5872567883626093,0.9619424119419259,0.6434596318995067,10,65.6,B
Q742988,New Balance,American footwear manufacturer,40.0,New Balance,39,,40564.0,983.78,358.48,+1%,-29%,35742.0,+3%,-10%,+350%,+3500%,True,True,True,0.7643516397415372,0.4138783020456583,0.621452931816443,trends+news+pv,0.6306298968477547,0.7025034107220263,0.6414109239288954,11,65.4,B
Q843887,Hermès,French luxury goods manufacturer,59.0,Hermès,57,,63374.0,490.06,563.74,+32%,-33%,66150.0,+10%,+20%,+350%,>5000 (breakout),True,True,True,0.5394719083765211,0.5190146525865769,0.7767717346097529,trends+news+pv,0.5807946968861842,0.8531874278622592,0.6216536065325955,12,63.4,B
Q332477,Victoria’s Secret,American retailer of lingerie,59.0,Victoria's Secret,55,,52307.0,404.58,515.12,+5%,-42%,48122.0,+3%,-1%,+250%,>5000 (breakout),True,True,True,0.4901696439343983,0.49612875541900386,0.7056961699401187,trends+news+pv,0.535062682580924,0.8531874278622592,0.5827813943731243,13,59.4,B
Q193136,Prada,Italian luxury fashion house,66.0,Prada,64,,44951.0,350.86,352.96,-10%,-30%,31439.0,+3%,-6%,+500%,>5000 (breakout),True,True,True,0.4564688399290396,0.4106794187087718,0.654195470799166,trends+news+pv,0.4822773397369845,0.9023819698029941,0.5452930342468859,14,55.6,B
Q5113774,Chrome Hearts,American fashion brand,5.0,Chrome Hearts,5,,37054.0,,,-5%,-35%,30392.0,+9%,-10%,>5000 (breakout),>5000 (breakout),True,False,False,0.0,0.0,0.5939575440068663,pv,0.5939575440068663,0.24837246276411157,0.5421197818204531,15,55.3,B
Q136570,Zalando,multinational e-commerce company specializing in shoes and fashion,23.0,Zalando,23,,21940.0,487.09,697.51,-17%,-20%,17918.0,-5%,-10%,+70%,+950%,True,True,True,0.5378346940292515,0.5773184174046995,0.45704205714885127,trends+news+pv,0.5335212836658059,0.5326995862526512,0.5333980290538327,16,54.4,B
Q127962,Levi's,privately held American clothing company,50.0,Levi Strauss & Co.,50,,41578.0,386.06,235.22,-21%,-15%,33897.0,+3%,+4%,+250%,>5000 (breakout),True,True,True,0.47881925893318866,0.33525658437831923,0.6291723834052682,trends+news+pv,0.46582108146114376,0.7854226903999526,0.5137613228019651,17,52.4,B
Q2282172,Yves Saint Laurent,French luxury fashion house,40.0,Yves Saint Laurent (fashion house),40,,25314.0,417.83,368.99,-2%,-24%,17168.0,+1%,+1%,+400%,>5000 (breakout),True,True,True,0.49813151222211727,0.41990156327896516,0.4909284966538522,trends+news+pv,0.47322192442551864,0.7025034107220263,0.5076141473699948,18,51.8,B
Q137023,Primark,Irish clothing retailer,36.0,Primark,35,,38519.0,317.26,446.26,-8%,-38%,30570.0,+9%,+7%,+120%,>5000 (breakout),True,True,True,0.43406209973045906,0.46177899455530197,0.6055853439982245,trends+news+pv,0.476681817031465,0.6664532525755065,0.5051475323630712,19,51.5,B
Q635484,Giorgio Armani,Italy-based international luxury fashion house,52.0,Armani,51,,33927.0,282.52,336.67,-2%,-43%,20614.0,+2%,-3%,+500%,>5000 (breakout),True,True,True,0.4096083542277703,0.40109052502263437,0.5683430892778913,trends+news+pv,0.4387999524762537,0.8009771249535805,0.4931265283478527,20,50.3,B
Q1641437,Ralph Lauren,American fashion and lifestyle company,24.0,Ralph Lauren Corporation,23,,28108.0,438.63,336.67,+2%,-36%,19890.0,+40%,-20%,+400%,>5000 (breakout),True,True,True,0.5103796772101226,0.40109052502263437,0.5173123261973792,trends+news+pv,0.4789794613513274,0.5441568020760632,0.4887560624600377,21,49.9,B
