qid,brand,entity,news_mom,news_yoy,status
Q483915,Nike,Footwear company,+200%,+550%,ok
Q178516,Gucci,Fashion brand,+700%,+1850%,ok
Q191485,Louis Vuitton,Fashion company,+250%,+450%,ok
Q26070,Uniqlo,Fashion brand,+250%,>5000 (breakout),ok
Q188326,H&M,Fashion brand,+110%,+2600%,ok
Q147662,Zara,Fashion brand,+90%,+600%,ok
Q843887,Hermès,Fashion brand,+350%,>5000 (breakout),ok
Q491627,Hugo Boss,Fashion company,+450%,>5000 (breakout),ok
Q107377209,Shein,Clothing retail company,+110%,+3900%,ok
Q332477,Victoria's Secret,Lingerie company,+250%,>5000 (breakout),ok
Q193136,Prada,Fashion brand,+500%,>5000 (breakout),ok
Q696376,Versace,Fashion company,+1150%,>5000 (breakout),ok
Q611115,Swarovski,Fashion brand,+1550%,>5000 (breakout),ok
Q742988,New Balance,Footwear company,+350%,+3500%,ok
Q127962,Levi Strauss & Co.,Clothing company,+250%,>5000 (breakout),ok
Q309031,Lacoste,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q420953,Air Jordan,Product line,+130%,+1100%,ok
Q635484,Giorgio Armani,Fashion brand,+500%,>5000 (breakout),ok
Q214480,Dolce & Gabbana,Fashion brand,+200%,>5000 (breakout),ok
Q6702957,Lululemon Athletica,Apparel company,+400%,+800%,ok
Q137023,Primark,Retail company,+120%,>5000 (breakout),ok
Q152784,"The North Face, Inc.",Clothing company,+700%,>5000 (breakout),ok
Q43452713,On AG,Sportswear company,+1050%,>5000 (breakout),ok
Q2031485,Under Armour,Fashion brand,+600%,+1250%,ok
Q1068628,Calvin Klein,Fashion brand,+600%,>5000 (breakout),ok
Q1066858,Tiffany & Co.,Jewelry stores company,>5000 (breakout),>5000 (breakout),ok
Q482539,"Fila, Inc.",Sportswear company,+500%,>5000 (breakout),ok
Q2282172,Yves Saint Laurent,Fashion house,+400%,>5000 (breakout),ok
Q688082,Bata Limited,Footwear retail company,+600%,>5000 (breakout),ok
Q390107,Burberry,Fashion brand,+650%,>5000 (breakout),ok
Q5113774,Chrome Hearts,Luxury goods company,>5000 (breakout),>5000 (breakout),ok
Q752515,Bulgari,Jewellery company,+3300%,>5000 (breakout),ok
Q1660552,"Patagonia, Inc.",Clothing company,>5000 (breakout),>5000 (breakout),ok
Q701338,C&A,Company,+600%,>5000 (breakout),ok
Q1641437,Ralph Lauren Corporation,Fashion company,+400%,>5000 (breakout),ok
Q2945643,Skechers,Footwear manufacturing company,+400%,>5000 (breakout),ok
Q1126126,Dr. Martens,Footwear company,>5000 (breakout),>5000 (breakout),ok
Q1659229,Supreme,Brand,>5000 (breakout),>5000 (breakout),ok
Q926575,Fendi,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q319344,Abercrombie & Fitch,Retail company,+1450%,+1450%,ok
Q1686544,Loro Piana,Luxury goods company,>5000 (breakout),>5000 (breakout),ok
Q735873,Kappa,Clothing company,>5000 (breakout),>5000 (breakout),ok
Q817139,Benetton Group,Clothing company,>5000 (breakout),>5000 (breakout),ok
Q1726925,Maison Margiela,Fashion brand,+1050%,>5000 (breakout),ok
Q759210,Givenchy,Fashion company,+3200%,>5000 (breakout),ok
Q950042,Stone Island,Company,+1350%,>5000 (breakout),ok
Q552230,Miu Miu,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q966905,Loewe,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q136570,Zalando,Online shopping company,+70%,+950%,ok
Q1135366,Vans,Apparel company,+250%,no-data,partial
Q1156731,Mizuno Corporation,Sports equipment company,+1650%,>5000 (breakout),ok
Q1115170,Comme des Garçons,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q788231,Massimo Dutti,Clothing retail company,+2600%,>5000 (breakout),ok
Q648458,Birkenstock,Manufacturing company,+300%,>5000 (breakout),ok
Q2470307,Guess,Clothing company,+500%,>5000 (breakout),ok
Q894874,Bottega Veneta,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q1548951,Moncler,Company,+1800%,>5000 (breakout),ok
Q827258,Bershka,Topic (brand),+100%,>5000 (breakout),ok
Q136503,Mango,Company,+130%,>5000 (breakout),ok
Q158285,Diesel,Fashion house,+950%,>5000 (breakout),ok
Q634881,Tommy Hilfiger B.V.,Clothing brand,+950%,>5000 (breakout),ok
Q142691,Montblanc International GmbH,Company,>5000 (breakout),>5000 (breakout),ok
Q2842931,American Eagle Outfitters,Clothing company,0%,0%,ok
Q1130409,Vertu,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q7629175,"Stüssy, Inc.",Company,>5000 (breakout),>5000 (breakout),ok
Q649646,Valentino,Design company,+1600%,>5000 (breakout),ok
Q948531,Celine,Fashion house,+3100%,>5000 (breakout),ok
Q174310,Nordstrom,Store chain,+120%,+1650%,ok
Q1439645,Macron,Brand,+100%,>5000 (breakout),ok
Q532310,Hummel International,Sportswear company,>5000 (breakout),>5000 (breakout),ok
Q25387414,Brandy Melville,Company,>5000 (breakout),>5000 (breakout),ok
Q1684445,Superdry & Co,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q123700068,Alo Yoga,Clothing company,+900%,>5000 (breakout),ok
Q1539185,The Timberland Company,Company,>5000 (breakout),>5000 (breakout),ok
Q2003244,Thor Steinar,Topic (brand),0%,0%,ok
Q691029,Pull&Bear,Topic (brand),+250%,>5000 (breakout),ok
Q16908664,Hoka,Company,>5000 (breakout),>5000 (breakout),ok
Q1075391,Chloé,Clothing brand,+2700%,>5000 (breakout),ok
Q378698,Jaeger-LeCoultre,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q3205965,LC Waikiki,Company,+650%,>5000 (breakout),ok
Q1060537,Forever 21,Clothing brand,>5000 (breakout),>5000 (breakout),ok
Q1257477,Hollister Co.,Topic (brand),+80%,>5000 (breakout),ok
Q1445358,Wrangler,Clothing chain,>5000 (breakout),>5000 (breakout),ok
Q53472173,Off-White,Company,>5000 (breakout),>5000 (breakout),ok
Q56246099,Gymshark,Company,0%,0%,ok
Q1355904,Zegna,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q631894,HEAD,Sports equipment company,>5000 (breakout),>5000 (breakout),ok
Q806085,Banana Republic,Clothing brand,+1000%,>5000 (breakout),ok
Q11815580,Pepco,Company,+1550%,>5000 (breakout),ok
Q3410623,Puig,Company,>5000 (breakout),>5000 (breakout),ok
Q1385309,Balmain,Company,>5000 (breakout),>5000 (breakout),ok
Q6108019,JD Sports,Store chain,+150%,+3600%,ok
Q1200698,Le Bon Marché,Department store,>5000 (breakout),>5000 (breakout),ok
Q463378,American Apparel Inc.,Company,0%,0%,ok
Q659863,Moschino,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q1422481,Fjällräven,Clothing chain,0%,0%,ok
Q706421,New Yorker,Clothing company,+200%,>5000 (breakout),ok
Q24908552,100 Thieves,Company,+20%,>5000 (breakout),ok
Q938773,DKNY,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q13882231,Alexander McQueen,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q23823668,TK Maxx,Store chain,+1150%,>5000 (breakout),ok
Q63335,Foot Locker,Company,0%,0%,ok
Q1151774,Max Mara,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q182399,J. Barbour and Sons,Outerwear company,>5000 (breakout),>5000 (breakout),ok
Q110778161,SKIMS,Clothing company,+450%,>5000 (breakout),ok
Q5512642,GU,Retail company,+500%,>5000 (breakout),ok
Q2855977,Slazenger,Sports equipment company,0%,0%,ok
Q2735242,Old Navy,Clothing retail company,+120%,>5000 (breakout),ok
Q670764,Brooks Sports,Sports equipment company,>5000 (breakout),>5000 (breakout),ok
Q743497,Neiman Marcus,Department store chain,>5000 (breakout),>5000 (breakout),ok
Q1132272,PVH Corp.,Clothing company,>5000 (breakout),>5000 (breakout),ok
Q114913,Dickies,Apparel company,>5000 (breakout),>5000 (breakout),ok
Q1341990,Strauss,Workwear company,>5000 (breakout),>5000 (breakout),ok
Q1280255,ECCO,Company,>5000 (breakout),>5000 (breakout),ok
Q2782017,Napapijri,Fashion company,0%,0%,ok
Q246655,Next plc,Clothing company,+850%,>5000 (breakout),ok
Q3946053,Salvatore Ferragamo,Fashion company,>5000 (breakout),>5000 (breakout),ok
Q1095857,C. & J. Clark International Ltd,Footwear retail company,>5000 (breakout),>5000 (breakout),ok
Q604667,Emilio Pucci,Topic (brand),>5000 (breakout),>5000 (breakout),ok
Q29015034,JW Anderson,Fashion label,>5000 (breakout),>5000 (breakout),ok
Q25351941,The Row,Fashion brand,>5000 (breakout),>5000 (breakout),ok
Q849724,Brioni,Menswear company,>5000 (breakout),>5000 (breakout),ok
Q844805,Dillard's,Department store chain,+750%,>5000 (breakout),ok
Q842174,"Eddie Bauer Holdings, Inc.",Clothing company,>5000 (breakout),>5000 (breakout),ok
Q866899,Lanvin,Company,>5000 (breakout),>5000 (breakout),ok
Q147505,Zappos,Online retail company,>5000 (breakout),>5000 (breakout),ok
Q2072372,streetwear,Topic,+350%,>5000 (breakout),ok
Q4038967,Fred Perry,Fashion accessory company,0%,0%,ok
Q18712957,Farfetch,Company,+1100%,>5000 (breakout),ok
Q22101752,Adidas Yeezy,Shoes,>5000 (breakout),+750%,ok
Q6131944,L.L.Bean,Retail company,>5000 (breakout),>5000 (breakout),ok
Q3327046,OYSHO,Chain,+450%,>5000 (breakout),ok
Q588001,Geox,Shoe manufacturing company,+500%,>5000 (breakout),ok
Q1027874,Oniverse,Retail company,+250%,no-data,ok
