qid,brand,entity,search_mom,search_yoy,news_mom,news_yoy,status
Q147662,Zara,Fashion brand,-7%,-7%,+50%,+350%,ok
Q178516,Gucci,Fashion brand,-8%,-6%,+700%,>5000% (breakout),ok
Q26070,Uniqlo,Fashion brand,-4%,+20%,+250%,>5000% (breakout),ok
Q483915,Nike,Footwear company,0%,-10%,+160%,+450%,ok
Q191485,Louis Vuitton,Fashion company,+1%,-10%,no-data,no-data,partial
Q188326,H&M,Fashion brand,-10%,-20%,,,ok
Q843887,Hermès,Fashion brand,+10%,+20%,,,ok
Q491627,Hugo Boss,Fashion company,-6%,-50%,,,ok
Q107377209,Shein,Clothing retail company,-2%,+140%,,,ok
Q332477,Victoria's Secret,Lingerie company,+3%,-1%,,,ok
Q193136,Prada,Fashion brand,+3%,-6%,,,ok
Q696376,Versace,Fashion company,+3%,-10%,,,ok
Q611115,Swarovski,Fashion brand,+4%,+6%,,,ok
Q742988,New Balance,Footwear company,+3%,-10%,,,ok
Q127962,Levi Strauss & Co.,Clothing company,+3%,+4%,,,ok
Q309031,Lacoste,Fashion company,+4%,-9%,,,ok
Q420953,Air Jordan,Product line,+2%,-20%,,,ok
Q635484,Giorgio Armani,Fashion brand,+2%,-3%,,,ok
Q214480,Dolce & Gabbana,Fashion brand,-4%,-10%,,,ok
Q6702957,Lululemon Athletica,Apparel company,-10%,-20%,,,ok
Q137023,Primark,Retail company,+9%,+7%,,,ok
Q152784,"The North Face, Inc.",Clothing company,+8%,+20%,,,ok
Q43452713,On AG,Sportswear company,+8%,+20%,,,ok
Q2031485,Under Armour,Fashion brand,+9%,-5%,,,ok
Q1068628,Calvin Klein,Fashion brand,-3%,-10%,,,ok
Q1066858,Tiffany & Co.,Jewelry stores company,+20%,+3%,,,ok
Q482539,"Fila, Inc.",Sportswear company,+1%,+160%,,,ok
Q2282172,Yves Saint Laurent,Fashion house,+1%,+1%,,,ok
Q688082,Bata Limited,Footwear retail company,+5%,-9%,,,ok
Q390107,Burberry,Fashion brand,+2%,+9%,,,ok
Q5113774,Chrome Hearts,Luxury goods company,+9%,-10%,,,ok
Q752515,Bulgari,Jewellery company,+10%,-10%,,,ok
Q1660552,"Patagonia, Inc.",Clothing company,+1%,+250%,,,ok
Q701338,C&A,Company,-1%,-7%,,,ok
Q1641437,Ralph Lauren Corporation,American fashion designer,+40%,-20%,,,ok
Q2945643,Skechers,Footwear manufacturing company,+3%,+50%,,,ok
Q1126126,Dr. Martens,Footwear company,+5%,-20%,,,ok
Q1659229,Supreme,Brand,+100%,+10%,,,ok
Q926575,Fendi,Fashion brand,-1%,-8%,,,ok
Q319344,Abercrombie & Fitch,Retail company,+20%,+20%,,,ok
Q1686544,Loro Piana,Luxury goods company,+50%,+400%,,,ok
Q735873,Kappa,Clothing company,-10%,-20%,,,ok
Q817139,Benetton Group,Clothing company,0%,-20%,,,ok
Q1726925,Maison Margiela,Fashion brand,+9%,+3%,,,ok
Q759210,Givenchy,Fashion company,+1%,-8%,,,ok
Q950042,Stone Island,Company,-20%,+70%,,,ok
Q552230,Miu Miu,Topic (brand),-4%,-20%,,,ok
Q966905,Loewe,Fashion company,0%,-10%,,,ok
Q136570,Zalando,Online shopping company,-5%,-10%,,,ok
Q1135366,Vans,Apparel company,+9%,-2%,,,ok
Q1156731,Mizuno Corporation,Sports equipment company,0%,-7%,,,ok
Q1115170,Comme des Garçons,Fashion brand,+4%,-9%,,,ok
Q788231,Massimo Dutti,Clothing retail company,+30%,+1%,,,ok
Q648458,Birkenstock,Manufacturing company,-30%,+800%,,,ok
Q2470307,Guess,Clothing company,0%,+120%,,,ok
