qid,brand,token,category,batch_anchor,anchor_adidas_level,brand_mean,anchor_mean,recovered_level_adidas100
Q378698,Jaeger-LeCoultre,/m/01szcp,crushed,Nordstrom,10.98,2.68,66.98,0.439
Q29015034,JW Anderson,/g/11g6t09w2j,crushed,Nordstrom,10.98,2.79,66.98,0.458
Q24908552,100 Thieves,/g/11byzccgfp,crushed,Nordstrom,10.98,1.28,66.98,0.21
Q1355904,Zegna,/m/05217d,crushed,Nordstrom,10.98,2.11,66.98,0.346
Q6131944,L.L.Bean,L.L.Bean,crushed,Nordstrom,10.98,3.30,66.98,0.541
Q182399,J. Barbour and Sons,/m/09q3xp,crushed,Nordstrom,10.98,1.51,66.98,0.247
Q1422481,Fjällräven,Fjällräven,crushed,Nordstrom,10.98,4.53,66.98,0.742
Q105476592,Tom Ford,/m/017gy6,crushed,Nordstrom,10.98,3.09,66.98,0.507
Q5213855,Jimmy Choo Ltd,/m/0czj0s,crushed,Nordstrom,10.98,1.72,67.00,0.281
Q4728473,AllSaints,/m/05p427g,crushed,Nordstrom,10.98,3.04,67.00,0.498
Q11815580,Pepco,/m/0250hn,crushed,Nordstrom,10.98,2.45,67.00,0.402
Q7156755,Payless ShoeSource,/m/06sm6h,crushed,Nordstrom,10.98,2.81,67.00,0.461
Q6077665,Jack & Jones,Jack & Jones,crushed,Nordstrom,10.98,2.81,67.00,0.461
Q4876226,Beams,/m/0fm2wq,crushed,Nordstrom,10.98,2.13,67.00,0.349
Q1360940,Orbea,/m/080jbw,crushed,Nordstrom,10.98,0.89,67.00,0.145
Q1893576,Topshop,/g/1201dvcv5,crushed,Nordstrom,10.98,3.26,67.00,0.535
Q1784995,Alfred Dunhill,/m/0dck4b,crushed,Nordstrom,10.98,2.92,67.00,0.479
Q7366633,Roots Canada,/m/03n1zl,crushed,Nordstrom,10.98,3.34,67.00,0.547
Q7932495,Vineyard Vines,/m/0g0lmv,crushed,Nordstrom,10.98,2.58,67.00,0.424
Q7121857,PacSun,/m/057rj3,crushed,Nordstrom,10.98,3.77,67.00,0.618
Q1439858,Nina Ricci,/m/0105_wgd,crushed,Nordstrom,10.98,2.23,67.00,0.365
Q3073822,Superga,Superga,crushed,Nordstrom,10.98,2.58,67.00,0.424
Q4781133,Apple Bottoms,Apple Bottoms,crushed,Nordstrom,10.98,1.02,67.00,0.167
Q2988422,Canada Goose Inc.,/m/0cjz6h,crushed,Nordstrom,10.98,1.25,67.00,0.204
Q7282768,Rag & Bone,Rag & Bone,crushed,Nordstrom,10.98,1.51,67.00,0.247
Q18385610,Stitch Fix,/m/010ql3n8,crushed,Nordstrom,10.98,3.02,67.00,0.495
Q11293025,OWNDAYS,/g/121bwbrl,crushed,Nordstrom,10.98,2.87,67.00,0.47
Q5000795,Burton,/m/0781kl,crushed,Nordstrom,10.98,3.26,67.00,0.535
Q116783961,Palm Angels,Palm Angels,crushed,Nordstrom,10.98,3.19,67.00,0.523
Q881017,Bogner,Bogner,crushed,Nordstrom,10.98,3.11,67.00,0.51
Q86682767,Sézane,/g/11fqqfcwrk,crushed,Nordstrom,10.98,0.38,67.00,0.062
Q2551058,DSQUARED2,/g/11vp4ql7c,crushed,Nordstrom,10.98,3.26,67.00,0.535
Q18636520,Dolls Kill,Dolls Kill,crushed,Nordstrom,10.98,1.77,67.00,0.291
Q3905226,PINKO,/g/121v7x87,crushed,Nordstrom,10.98,1.79,67.00,0.294
Q72982331,Francesca's,Francesca's,crushed,Nordstrom,10.98,1.70,67.00,0.278
Q4941440,Bonds,/m/0cgkbv,crushed,Nordstrom,10.98,3.21,67.00,0.526
Q3473599,Sarenza,/m/0sgg5p_,crushed,Nordstrom,10.98,2.23,67.00,0.365
Q1786717,Lindex,/m/0262jz,crushed,Nordstrom,10.98,3.23,67.00,0.529
Q8041451,X-Large,/m/0cg1tx,crushed,Nordstrom,10.98,1.21,67.00,0.198
Q4950452,Boutique La Vie en rose,/m/0h95zw7,crushed,Nordstrom,10.98,2.72,67.00,0.445
Q2860764,Ardène,/m/0g9t35t,crushed,Nordstrom,10.98,2.47,67.00,0.405
Q17109937,Rack Room Shoes,/m/03m0b4j,crushed,Nordstrom,10.98,2.91,67.00,0.476
Q110225120,Max Mara Fashion Group,/m/0dx64d,crushed,Nordstrom,10.98,3.08,67.00,0.504
Q1072452,Chiemsee,/m/03x2_m,crushed,Nordstrom,10.98,2.85,67.00,0.467
Q16648226,Women'secret,/g/12lqjr7mq,crushed,Nordstrom,10.98,2.98,67.00,0.489
Q19903688,Target Optical,Target Optical,crushed,Nordstrom,10.98,3.15,67.00,0.516
Q4349016,KappAhl,/g/11b77jln37,crushed,Nordstrom,10.98,1.72,67.00,0.281
Q96791543,Yeezy,/g/11dxd2ct_b,crushed,Nordstrom,10.98,3.34,67.00,0.547
Q119056161,F. Engel,/m/0cp8j,crushed,Nordstrom,10.98,3.26,67.00,0.535
Q7432952,Schuh,Schuh,missing,Adidas,100.00,1.79,78.55,2.282
Q125660181,Kaporal,Kaporal,missing,Nordstrom,10.98,0.21,67.00,0.034
Q55097814,Viyella,Viyella,missing,Nordstrom,10.98,0.00,67.00,0.0
Q28857986,Lorna Jane,Lorna Jane,missing,Nordstrom,10.98,2.02,67.00,0.331
Q7740985,The Hundreds,The Hundreds,missing,Adidas,100.00,0.68,78.55,0.865
Q7111938,Outdoor Research,Outdoor Research,missing,Adidas,100.00,0.96,78.55,1.225
Q18390679,Robert Graham,Robert Graham,missing,Nordstrom,10.98,1.11,67.00,0.182
Q86327186,GHOST-Bikes,GHOST-Bikes,missing,Nordstrom,10.98,0.00,67.00,0.0
Q107481263,Bode,Bode,missing,Adidas,100.00,1.02,78.55,1.297
Q794565,Aéropostale,/m/05qblk,missing,Adidas,100.00,0.68,78.55,0.865
Q3157513,Jacob,/m/063xvrw,missing,Adidas,100.00,2.47,78.55,3.147
Q2903774,Gottex,/m/04gk5_t,missing,Nordstrom,10.98,0.00,67.00,0.0
Q55205917,Best Company,/m/01zrdx,missing,Adidas,100.00,20.34,78.55,25.895
Q5024439,Calvin Klein Collection,/m/0_vn4bf,missing,Adidas,100.00,9.72,78.55,12.371
Q125995969,The Attico,The Atti,missing,Nordstrom,10.98,0.19,66.98,0.031
Q307894,2(x)ist,2(x)ist,missing,Nordstrom,10.98,0.08,66.98,0.012
Q109906064,Sleeper,Sleeper,missing,Adidas,100.00,7.00,78.55,8.912
Q5392021,IC Group,/m/016l20,missing,Adidas,100.00,12.43,78.55,15.83
Q1719431,Schmid,Schmid,missing,Adidas,100.00,1.00,78.55,1.273
Q7553581,Soffe,Soffe,missing,Nordstrom,10.98,0.32,66.98,0.053
Q115804691,Volcano,Volcano,missing,Adidas,100.00,6.30,78.55,8.023
Q16985816,C. Wonder,/m/0knsw3s,missing,Nordstrom,10.98,0.00,67.00,0.0
Q28056374,Tezenis,/g/11cm3rwrkc,missing,Nordstrom,10.98,0.00,67.00,0.0
Q7456144,Sessions,/g/11j8glgtl0,missing,Nordstrom,10.98,0.70,67.00,0.114
Q5506939,Fuchsia,/m/03lb0l,missing,Adidas,100.00,1.81,78.57,2.305
Q10443115,Carlings,/g/11dylw0r5,missing,Nordstrom,10.98,1.00,67.00,0.164
Q55748823,garment factory,/g/11rrqwzb0t,missing,Nordstrom,10.98,0.00,67.00,0.0
Q6316068,Just Jeans,Just Jeans,missing,Nordstrom,10.98,2.55,67.00,0.417
Q3439593,Cubus,/m/01v_x,missing,Adidas,100.00,23.89,78.55,30.411
Q3401000,Nalini,/g/11ylkw25pv,missing,Nordstrom,10.98,0.00,67.00,0.0
Q130705749,Assem,Assem,missing,Nordstrom,10.98,1.00,67.00,0.164
Q2290173,Sirri,Sirri,missing,Nordstrom,10.98,0.40,67.00,0.065
Q111283880,Anine Bing,Anine Bing,missing,Nordstrom,10.98,1.98,67.00,0.325
Q131673087,Moose Knuckles,/g/11lgl1rs0f,missing,Nordstrom,10.98,0.00,67.00,0.0
