Q125191429,Ladies,
Q22032349,Wood Wood,
Q125705303,Fix,
Q64852777,Beer,
Q7456144,Sessions,
Q3157513,Jacob,
Q138486466,Shukr,
Q2872152,Australian,
Q12340378,VILA,
Q10443115,Carlings,
Q2121887,Polo Ralph Lauren,
Q115517249,Tu,
Q7866331,USC,
Q85761879,Frame,
Q11072650,Swear,
Q4941440,Bonds,
Q1719431,Schmid,
Q5175717,Cotton On,
Q109906064,Sleeper,
Q107481263,Bode,
Q20714032,Seraphine,
Q20987378,Barefoot,
Q7740985,The Hundreds,
Q125206509,Patta,
Q6793571,Maurices,
Q7197417,Piping Hot,
Q132531889,Alé,
Q72982331,Francesca's,
Q3146711,IKKS,
Q11297188,Kapital,
Q115804691,Volcano,
Q5618229,Gump's,
Q119149859,Kapital,
Q25351738,Joules,
Q108582148,Good American,
Q9171569,Big Star,
Q15263093,IRFE,
Q3497483,Emporio Armani,
Q2422884,American Vintage,
Q6192383,Jigsaw,
Q136502973,Volt,
Q5324709,EXR,
Q10461856,Crocker,
Q28042940,Orchestra,
Q7432952,Schuh,
Q8041451,X-Large,
Q6166759,Jay Jays,
Q125230974,James Perse,
Q2956351,Chantelle,
Q55748823,garment factory,
Q5506939,Fuchsia,
Q28401216,Sunski,
Q104890420,Just Over the Top,
Q11993725,Oleana,
Q6316068,Just Jeans,
Q55205917,Best Company,
Q11236730,Niko and...,
Q3401000,Nalini,
Q115310947,Terminal X,
Q16648226,Women'secret,
Q130705749,Assem,
Q2290173,Sirri,
Q107394070,Number (N)ine,
Q945463,Bonia,
Q3439593,Cubus,
Q3012602,Damart,
Q7553581,Soffe,
Q3305660,Tailored Brands,
Q125660181,Kaporal,
Q7642242,Super Champion,
Q6187356,Jessica McClintock,
Q6908680,Moosejaw,
Q28056374,Tezenis,
Q2903774,Gottex,
Q1072452,Chiemsee,
Q6414100,Kinney Shoes,
Q307894,2(x)ist,
Q110225120,Max Mara Fashion Group,
Q3299151,Matix,
Q7111938,Outdoor Research,
Q18636419,The Elder Statesman,
Q13657207,Padini,
Q4950452,Boutique La Vie en rose,
Q86327186,GHOST-Bikes,
Q55097814,Viyella,
Q111283880,Anine Bing,
Q131673087,Moose Knuckles,
Q109825187,Boot Barn,
Q96657862,Yeezy Gap,
Q6209926,Joe Fresh,
Q86682767,Sézane,
Q7994858,White House Black Market,
Q19903688,Target Optical,
Q119056161,F. Engel,
Q28857986,Lorna Jane,
Q5298588,Dorothy Perkins,
Q7500007,Shoe Carnival,
Q18390679,Robert Graham,
Q5392021,IC Group,
Q115799492,Falguni Shane Peacock,
Q140069588,Dorko,
Q7654224,Sweaty Betty,
Q94776153,PME Legend,
Q5142575,Coldwater Creek,
Q16850757,J Brand,
Q17109937,Rack Room Shoes,
Q18636520,Dolls Kill,
Q5024439,Calvin Klein Collection,
Q6268615,Johnston & Murphy,
Q16985816,C. Wonder,
Q2860764,Ardène,
Q125995969,The Attico,
